;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
4104;BBG000BJDB15;FCX;Freeport-McMoRan;2018-06-27;13.19;1;0;sma;0;usd
4105;BBG002R1CW27;IR;Ingersoll-Rand;2018-06-27;95.54;0;1;sma;0;usd
4106;BBG004T7VS53;FOXF;Fox Factory Holding Corp;2018-06-27;60.07;0;1;sma;0;usd
4107;BBG000DZJVH0;NXST;Nexstar Media Group Inc;2018-06-28;72.8792;0;1;sma;0;usd
4108;BBG000BGKTF9;COF;Capital One;2018-06-28;90.95;1;0;sma;0;usd
4109;BBG000DD3510;AIV;Apartment Investment & Management REIT;2018-06-28;4.66;0;1;sma;0;usd
4110;BBG000BJ2D31;SPG;Simon Property Group REIT;2018-06-28;170.34;0;1;sma;0;usd
4111;BBG000GMGNB3;ROLL;RBC Bearings Inc;2018-06-28;137.96;0;1;sma;0;usd
4112;BBG000BNMMJ3;HSIC;Henry Schein;2018-06-28;82.5;0;1;sma;0;usd
4113;BBG000BZX1N5;AIZ;Assurant;2018-06-28;103.14;0;1;sma;0;usd
4114;BBG006Q0HY77;CFG;Citizens Financial Group;2018-06-29;36.11;1;0;sma;0;usd
4115;BBG0047315Y7;SBERP;Сбер Банк - привилегированные акции;2018-06-29;162.1;1;0;sma;0;rub
4116;BBG000BRD0D8;PNC;PNC Financial Services;2018-06-29;124.56;1;0;sma;0;usd
4117;BBG000BTNGZ4;OMCL;Omnicell Inc;2018-06-29;63.39;0;1;sma;0;usd
4118;BBG000BFL116;FSLR;First Solar;2018-07-02;45.31;1;0;sma;0;usd
4119;BBG000FWGSZ5;IRKT;Корпорация ИРКУТ;2018-07-02;58.2;0;1;sma;0;rub
4120;BBG000BFJT36;CHD;Church & Dwight;2018-07-02;56.07;0;1;sma;0;usd
4121;BBG000F6YP24;ENRU;Энел Россия;2018-07-02;1.058;1;0;sma;0;rub
4122;BBG002458LF8;SELG;Селигдар;2018-07-02;9.71;0;1;sma;0;rub
4123;BBG000DCNK80;RPM;RPM International Inc;2018-07-02;58.8145;0;1;sma;0;usd
4124;BBG002NLDLV8;VIPS;Vipshop;2018-07-02;5.9;1;0;sma;0;usd
4125;BBG0078Y1D92;SYNH;Syneos Health Inc;2018-07-03;47.02;0;1;sma;0;usd
4126;BBG000BY33P5;JNPR;Juniper Networks;2018-07-03;28.57;0;1;sma;0;usd
4127;BBG000BFV758;MANH;Manhattan Associates Inc;2018-07-03;49.58;0;1;sma;0;usd
4128;BBG000C0HQ54;ENDP;Endo International PLC;2018-07-03;17.55;0;1;sma;0;usd
4129;BBG000BBS2Y0;AMGN;Amgen;2018-07-06;202.77;0;1;sma;0;usd
4130;BBG000MZL2S9;PMSBP;Пермэнергосбыт - акции привилегированные;2018-07-06;73.4;1;0;sma;0;rub
4131;BBG000BFRRX8;CLH;Clean Harbors Inc;2018-07-06;66.86;0;1;sma;0;usd
4132;BBG001D8R5D0;XYL;Xylem;2018-07-06;69.9;1;0;sma;0;usd
4133;BBG000GZQ728;XOM;Exxon Mobil Corporation;2018-07-09;81.49;0;1;sma;0;usd
4134;BBG000BLDV98;HRB;H&R Block;2018-07-09;25.98;1;0;sma;0;usd
4135;BBG000LJS6B8;ALGT;Allegiant Travel Co;2018-07-09;118.616;1;0;sma;0;usd
4136;BBG000BY29C7;TPR;Tapestry;2018-07-09;42.52;1;0;sma;0;usd
4137;BBG000BC4185;HA;Hawaiian Holdings Inc;2018-07-09;33.6551;1;0;sma;0;usd
4138;BBG000CF5097;GBX;Greenbrier Cos Inc;2018-07-10;57.2547;0;1;sma;0;usd
4139;BBG000BXQ7R1;ZNH;China Southern Airlines;2018-07-10;27.79;1;0;sma;0;usd
4140;BBG000LNHHJ9;KMAZ;КАМАЗ;2018-07-10;58.0;0;1;sma;0;rub
4141;BBG000C45984;L;Loews;2018-07-10;46.58;1;0;sma;0;usd
4142;BBG00341H6M0;GBT;Global Blood Therapeutics Inc;2018-07-11;37.41;1;0;sma;0;usd
4143;BBG00FN64XT9;DXC;DXC Technology;2018-07-11;88.75;1;0;sma;0;usd
4144;BBG000B9YJ35;APH;Amphenol;2018-07-11;45.02;0;1;sma;0;usd
4145;BBG000D9KWL9;MTB;M&T Bank;2018-07-11;158.76;1;0;sma;0;usd
4146;BBG000BC1L02;AOS;A. O. Smith Corporation;2018-07-11;44.868;1;0;sma;0;usd
4147;BBG000B9X8C0;AEE;Ameren;2018-07-11;65.47;0;1;sma;0;usd
4148;BBG000BR2B91;PFE;Pfizer;2018-07-12;44.1;0;1;sma;0;usd
4149;BBG000BMKDM3;K;Kellogg;2018-07-12;69.75;0;1;sma;0;usd
4150;BBG000BG3445;COO;The Cooper Companies;2018-07-12;248.62;0;1;sma;0;usd
4151;BBG000C1S2X2;VRTX;Vertex Pharmaceuticals;2018-07-12;177.0;0;1;sma;0;usd
4152;BBG000DHPN63;O;Realty Income REIT;2018-07-13;59.82;0;1;sma;0;usd
4153;BBG000BH4R78;DIS;Walt Disney;2018-07-13;117.1;0;1;sma;0;usd
4154;BBG000MZL0Y6;PMSB;Пермэнергосбыт;2018-07-13;74.6;1;0;sma;0;rub
4155;BBG0035LY913;NWSA;News Corp (A);2018-07-16;12.67;1;0;sma;0;usd
4156;BBG000BJL3N0;FITB;Fifth Third Bancorp;2018-07-16;25.92;1;0;sma;0;usd
4157;BBG000C7LMS8;AZO;AutoZone;2018-07-16;739.83;0;1;sma;0;usd
4158;BBG0035M2ZB7;NWS;News Corp;2018-07-16;12.84;1;0;sma;0;usd
