;figi;ticker;share_name;datetime;last_price;buy_flag;strategy_id;profit;currency
0;BBG000C13CD9;CDNS;Cadence Design Systems;2022-07-08;152.99;1;sma_30_90;0;usd
1;BBG001732GF9;PBA;Pembina Pipeline Corporation;2022-07-08;36.0;0;sma_30_90;0;usd
2;BBG0082W8Q12;GCP;GCP Applied Technologies Inc;2022-07-08;31.77;1;sma_30_90;0;usd
3;BBG000BKJG33;CORT;Corcept Therapeutics Inc;2022-07-08;26.89;1;sma_30_90;0;usd
4;BBG00DHTYPH8;GTLB;GitLab;2022-07-08;58.79;1;sma_30_90;0;usd
5;BBG001CGB489;VEEV;Veeva Systems Inc;2022-07-08;199.0;1;sma_30_90;0;usd
6;BBG0147BN6G2;SHEL;Shell АДР;2022-07-08;48.56;0;sma_30_90;0;usd
7;BBG000BWNFZ9;WDC;Western Digital;2022-07-08;47.36;0;sma_30_90;0;usd
8;BBG000BWP7D9;WEC;WEC Energy Group;2022-07-08;98.8;0;sma_30_90;0;usd
9;BBG000BHTPZ4;SCSC;ScanSource Inc;2022-07-08;30.69;0;sma_30_90;0;usd
10;BBG00BN969C1;CTVA;Corteva Inc;2022-07-08;53.0;0;sma_30_90;0;usd
11;BBG000BT41Q8;SLB;Schlumberger;2022-07-08;33.0;0;sma_30_90;0;usd
12;BBG000CZWZ05;BMRN;BioMarin Pharmaceutical Inc;2022-07-11;86.9;1;sma_30_90;0;usd
13;BBG000BKDWB5;ABG;Asbury Automotive Group Inc;2022-07-11;174.96;0;sma_30_90;0;usd
14;BBG000BXRPH1;PXD;Pioneer Natural Resources;2022-07-11;214.47;0;sma_30_90;0;usd
15;BBG000BTVJ25;SYY;Sysco;2022-07-11;87.36;1;sma_30_90;0;usd
16;BBG000PNTXP0;CYRX;Cryoport;2022-07-11;33.87;1;sma_30_90;0;usd
17;BBG000BKJ092;GNTX;Gentex Corporation;2022-07-11;28.86;0;sma_30_90;0;usd
18;BBG000D86F25;BWXT;BWX Technologies;2022-07-11;54.59;1;sma_30_90;0;usd
19;BBG00DXDL6Q1;VST;Vistra;2022-07-11;23.74;0;sma_30_90;0;usd
20;BBG000BT0T72;SJI;South Jersey Industries, Inc;2022-07-11;33.98;0;sma_30_90;0;usd
21;BBG000HN7W02;PLUS;ePlus Inc;2022-07-11;52.85;0;sma_30_90;0;usd
22;BBG00ZQRGW24;OGN;Organon & Co.;2022-07-12;31.66;0;sma_30_90;0;usd
23;BBG000BR85F1;PTR;PetroChina;2022-07-12;46.39;0;sma_30_90;0;usd
24;BBG000BR2B91;PFE;Pfizer;2022-07-12;50.79;0;sma_30_90;0;usd
25;BBG002PHSYX9;FANG;Diamondback Energy Inc;2022-07-12;118.75;0;sma_30_90;0;usd
26;TCS00A103X66;POSI;Positive Technologies;2022-07-12;870.0;0;sma_30_90;0;rub
27;BBG000BPYD87;NFG;National Fuel Gas Company;2022-07-12;66.69;0;sma_30_90;0;usd
28;BBG0122M8031;SLVM;Sylvamo Corp.;2022-07-12;34.54;0;sma_30_90;0;usd
29;BBG000BHLYS1;ED;Consolidated Edison;2022-07-12;90.64;0;sma_30_90;0;usd
30;BBG000BQQH30;COP;ConocoPhillips;2022-07-12;90.47;0;sma_30_90;0;usd
31;BBG00LV3NRG0;LTHM;Livent Corporation;2022-07-12;22.26;0;sma_30_90;0;usd
32;BBG000P1K2X6;GTLS;Chart Industries Inc;2022-07-12;162.81;0;sma_30_90;0;usd
33;BBG00KVTBY91;1810;Xiaomi;2022-07-13;13.1;1;sma_30_90;0;hkd
34;BBG000BGLRN3;LUMN;Lumen Technologies;2022-07-13;10.5;0;sma_30_90;0;usd
35;BBG00HDGRHH7;KRYS;Krystal Biotech Inc;2022-07-13;71.25;1;sma_30_90;0;usd
36;BBG00GNC8DL2;MGY;Magnolia Oil & Gas Corp;2022-07-13;22.3;0;sma_30_90;0;usd
37;BBG000BZ9223;EOG;EOG Resources;2022-07-13;104.0;0;sma_30_90;0;usd
38;BBG000QF1Q17;FESH;ДВМП;2022-07-13;28.78;0;sma_30_90;0;rub
39;BBG000BLCPY4;HP;Helmerich & Payne;2022-07-13;38.88;0;sma_30_90;0;usd
