;amount_of_sma_rows
BBG000C3TKY6;325
BBG000BFV758;2432
BBG004S685M3;2409
BBG000CTSZQ6;38
BBG004S68614;2479
BBG00DDY1RK9;0
BBG000C0BZD1;326
BBG000C4Z6C2;2432
BBG000CQV2N4;2431
BBG00VSH86G4;184
BBG000BX72V8;2427
BBG00C4DL9L4;43
BBG000BB1TH9;2432
BBG000BX7DH0;683
BBG00341H6M0;1525
BBG00GFMPRK0;1056
BBG000LF8708;2342
BBG000C7LMS8;2432
BBG000C496P7;434
BBG000BDPB15;65
BBG000R7Z112;2452
BBG00XGCHFV7;0
BBG000KK1L04;462
BBG000BPH459;2460
BBG000DQTXY6;2432
BBG014GJ8XH2;0
BBG004T7VS53;2031
BBG000PMBV39;186
BBG00B0FS947;293
BBG004731354;2486
BBG000GQSRR5;2397
BBG000C0RGY3;0
BBG000F86GP6;2432
BBG000BCRMW7;276
BBG006PWZX16;0
BBG00SSQFPK6;2427
BBG000BM2FL9;705
BBG000BV4XJ1;2432
BBG000BHY4D9;323
BBG000QT15P7;223
BBG0088CYPX8;2432
BBG000C1S2X2;2432
BBG000BLSL58;2432
BBG006G2JVL2;1780
BBG000G3QLY3;2432
BBG000BLPBL5;2432
BBG005CM7J89;0
BBG000BD1HP2;314
BBG000QCW561;2428
BBG000PD6X77;186
BBG000BKVJK4;2432
BBG008N298Y8;1567
BBG004KB3S72;462
BBG000BL79J3;2432
BBG004HXD0G8;406
BBG000BR3KL6;2431
BBG000D7RKJ5;2432
BBG000BZCKH3;2430
BBG000BK9W84;326
BBG00JN4FXG8;65
BBG000BJ26K7;2432
BBG000BMQPL1;2432
BBG000BC2R71;186
BBG000GX14P2;2432
BBG000BFNR17;2424
BBG000BT1ZY7;276
BBG00DQD26W3;0
BBG000BBXVK5;275
BBG004730RP0;2488
BBG000C2D1C1;186
BBG000RTDY25;2432
BBG000FKJRC5;2432
BBG000BJW241;2432
BBG000WCFV84;2432
BBG00MJM7K82;18
BBG000BB61F7;276
BBG000C2PW58;2432
BBG002B2J5X0;1902
BBG000CYW7N5;276
BBG000BSXQV7;2423
BBG012W99DN6;0
BBG000BCVJ77;2440
BBG000NV1KK7;2432
BBG000BR14K5;2432
BBG000BDGHD9;2431
BBG000BBNYF6;2432
BBG000C0LW92;2432
BBG004S68696;2416
BBG00S1LR2C3;2399
BBG000BWVCP8;2432
BBG001RWPDW6;1910
BBG000BKDWB5;2432
BBG000BWGYF8;2432
BBG000J79P80;2431
BBG000C1XSP8;33
BBG000BQY289;2432
BBG000Q3XWC4;18
BBG00475K6C3;2486
BBG001M2SC01;380
BBG000PKZDX4;2432
BBG0136BTL03;0
BBG000BN5LG7;2442
BBG000CL1FG7;2432
BBG000P5LMQ0;2430
BBG00MRHG523;58
BBG000BCZYD3;2431
BBG000KTF667;2416
BBG000BS73J1;2432
BBG000L69KL5;459
BBG00WCNDCZ6;2401
BBG00BLVZ228;1308
BBG006G063F9;1714
BBG01138DGZ7;23
BBG000C42VX0;2432
BBG000C4GBR6;2432
BBG000H6K1B0;0
BBG000DN4ZT1;2432
BBG000BBSJ28;0
BBG000ND1SB0;65
BBG00RRGSJR4;223
BBG007TJF1N7;1678
BBG000BRMJN6;185
BBG010R8C3Y4;1797
BBG000BB5B84;2431
BBG000BF8CB6;2426
BBG000CM6L31;2432
BBG000G7W420;2430
BBG000BL30Y9;2432
BBG000BSS5C0;317
BBG000BVXC87;186
BBG000CC7LQ7;2432
BBG000BHCYJ1;524
BBG000PRQ0V9;2432
BBG008HNS333;1582
BBG000C1FB75;2432
BBG00389GQ73;73
BBG000BGPTV6;2432
BBG000C75N77;2432
BBG000PTLGZ1;2430
BBG005XVXML5;628
BBG00DXDL6Q1;0
BBG001D0HB36;462
BBG000HT5G06;2245
BBG000VPGNR2;2432
BBG00KXRCDP0;2432
BBG0047315Y7;2486
BBG00P1919G5;0
BBG000QTFDQ4;1314
BBG00MMDJG84;0
BBG00VPKLPX4;284
BBG001Y04TN6;454
BBG000D0FNV3;2432
BBG000BC3WH8;59
BBG006GNSZW5;173
BBG000H556T9;2410
BBG000C42VL3;0
BBG000C1BW00;2432
BBG000P1B7C8;159
BBG000BG7L34;2432
BBG003CVJP50;462
BBG000N7KJX8;524
BBG000F61RJ8;462
BBG000BNJHS8;2432
BBG000BKTXF2;2432
BBG000QKNLB2;325
BBG00QVJVYB5;186
BBG009XW8PY2;64
BBG000BCVMH9;0
BBG000BD2NY8;825
BBG000Q49F45;1948
BBG000BQDF10;562
BBG000NSCNT7;2432
BBG00333FYS2;2094
BBG000BBS9F6;0
BBG004M9ZHX5;562
BBG000CTM4J9;2432
BBG000BPXVJ6;2432
BBG000BNTW77;461
BBG000C22QV7;2432
BBG000BKXBV7;391
BBG000C1XVK6;2432
BBG000BHB3M6;2432
BBG000D898T9;2432
BBG006JS5785;462
BBG000BP4MH0;2432
BBG000BL9C59;2432
BBG000BP8Z50;2432
BBG000BNHSP9;2432
BBG00TJGL0F0;0
BBG000J0D904;2432
BBG001J2M542;462
BBG000BBQCY0;2460
BBG001B4BV87;2432
BBG000BPBVW5;2432
BBG00P9KDZK6;186
BBG00FYCQ352;462
BBG000BCMBG4;2430
BBG011P2TCH8;0
BBG000BLCPY4;2432
BBG00RCNQMX3;182
BBG000BX2YN2;2432
BBG00YQ7XR05;0
BBG00HY28P97;595
BBG000C04224;2432
BBG000BCFNR4;2422
BBG004SK5VL9;0
BBG006Q52RD0;462
BBG000DCGRL8;2432
BBG000BJX8C8;2425
BBG000BFD605;2432
BBG0026ZJQX7;45
BBG000BLF8D2;2432
BBG000FV28W9;2432
BBG00JRH1P95;897
BBG000GW06J7;2432
BBG000Q3JN03;2432
BBG000BF8CN3;2432
BBG00R4ZKPN5;414
BBG0063FKTD9;0
BBG000FFDM15;2432
BBG000BQ4GG2;276
BBG000C23DD5;57
BBG000BKCFC2;2433
BBG000BJGGV8;223
BBG001P63B80;325
BBG000BKYVF0;2432
BBG000M1J270;0
BBG003PS7JV1;1960
BBG000RTHVK7;2407
BBG000PQPCM6;185
BBG0082W8Q12;1409
BBG014630587;0
BBG000BT0ZM1;59
BBG001KWWRS9;65
BBG000BWFH48;461
BBG000CZ8W54;462
BBG000BMHYD1;2434
BBG000W325F7;832
BBG000VQWH86;2416
BBG004S687W8;2416
BBG000BRWWH3;275
BBG000BFZVH8;275
BBG000BHR1H9;2432
BBG000BBHHP9;223
BBG000BFJFX3;276
BBG004S68829;2479
BBG000BMY992;2432
BBG000BJBZ23;2432
BBG00ZNSSKP3;65
BBG000B9Z0J8;2432
BBG0047315D0;2479
BBG008NMBXN8;24
BBG000BGYMH7;2432
BBG000BV8DN6;707
BBG000BQLM34;2429
BBG00BN96922;619
BBG008NVB1C0;2432
BBG000RYC984;2432
BBG001K003W2;957
BBG000BND699;276
BBG000CWL0F5;524
BBG000C1FQS9;2065
BBG0019GM953;1157
BBG000BKPL53;2432
BBG006DZTJ56;168
BBG000BFT2L4;2432
BBG000BFGNJ5;2432
BBG001B12Z39;462
BBG000BGJRC8;319
BBG000BF6LY3;2457
BBG0020BCPX5;462
BBG003PGJHP5;2115
BBG000BRW644;2432
BBG000QFH687;2416
BBG00Z5KBW72;0
BBG000BBX657;2432
BBG00FBJ6390;462
BBG000BB5006;2433
BBG000DZK6N6;323
BBG000NJ96L6;2432
BBG00BTJVK94;0
TBG000PV2L86;134
BBG000BMW2Z0;2432
BBG000BBFBD7;59
BBG000BHRBT4;185
BBG000BY33P5;2432
BBG00KT2SCV8;700
BBG00C6H6D40;524
BBG00HPDM5Z2;975
BBG000C4QP94;2432
BBG00178PGX3;280
BBG005Q3MQY4;462
BBG000BJ5SS8;2430
BBG00265T6Q4;0
BBG000BT0J38;223
BBG000BK9YW3;65
BBG000BXMFC3;2432
BBG000BVD6X4;516
BBG000BMT9T6;2431
BBG00F9XX7H4;1186
BBG000C7TF41;2432
BBG000BPPN67;2432
BBG000BJBXZ2;462
BBG000BF33K1;2431
BBG000BN46R9;462
BBG000C5Z1S3;2445
BBG004S688G4;2416
BBG000BKYDP9;455
BBG0029ZBN50;65
BBG000BGZP70;326
BBG000BX74M4;2430
BBG000RNBH63;325
BBG009DTD8H2;1369
BBG007N0Z367;1652
BBG00DHTYPH8;0
BBG000BVHBM1;2432
BBG005BLN209;1835
BBG000BQSQ38;23
BBG000F0R4N9;0
BBG000CVWGS6;2445
BBG000BGLFP7;186
BBG000G25P51;2432
BBG000BX6BJ3;2431
BBG00HMSHL83;38
BBG00179VSY7;379
BBG00KXC8646;0
BBG000QK0TG5;217
BBG00BN969C1;573
BBG000BHD8S7;186
BBG001Y2XS07;182
BBG000QSXPZ9;456
BBG000CC53X1;2432
BBG000BKTFN2;2432
BBG000Q2HM09;2391
BBG000BNFLM9;2433
BBG000JCZJS2;223
BBG000C4S3P3;276
BBG003LFWP05;2166
BBG000BRNLL2;2432
BBG000BCSST7;2457
BBG000QP35H2;462
BBG00HJ8K617;0
BBG0078ZLDG9;8
BBG000QKXH20;0
BBG000BSJK37;2444
BBG000BD0GG5;59
BBG000LNHHJ9;2416
BBG01103B471;18
BBG000BBQ209;59
BBG00M4ZQDK0;0
BBG000BQ4WF8;524
BBG000C734W3;2432
BBG000B9ZV28;2432
BBG000Q4XNV1;2432
BBG000PR0PJ6;18
BBG000BKF014;524
BBG000BMLWX8;186
BBG014KFRNP7;0
BBG000PXZFW2;2432
BBG012YQ6P43;0
BBG000BW8S60;352
BBG00JPRDQH1;2432
BBG000RK52V1;2416
BBG000BGXMG9;2431
BBG00LN7Q496;65
BBG00BN961G4;2428
BBG000C4QB95;462
BBG000BSMFN2;275
BBG00YFSF9D7;0
BBG000GPXKX9;2432
BBG000F964B6;2431
BBG000QPHD08;462
BBG00NPWH832;0
BBG004S682J4;2416
BBG005XZHR97;1815
BBG00DYNJGH9;354
BBG000BQHTV3;0
BBG000K4ND22;2432
BBG000CVKZY0;2431
BBG000BTC2N0;458
BBG001KJ7WJ5;462
BBG00JHNKJY8;852
BBG000BF3G77;321
BBG000BQWPC5;2433
BBG000BGZT72;1118
BBG001BP92V1;1499
BBG00H00J2N1;0
BBG000CX0P89;2432
BBG000BKWSR6;2432
BBG000BB2KN0;323
BBG000BVLRY8;632
BBG000DY28W5;2432
BBG011386VF4;0
BBG000PSKYX7;2447
BBG000BBJQV0;2460
BBG000D8KTN6;276
BBG0026ZG4W0;461
BBG004RVFFC0;2479
BBG000BHBGN6;2432
BBG000DZS2L9;275
BBG000BB5373;2432
BBG00QN8K4M4;186
BBG000VFBQG4;18
BBG000C2SBZ8;65
BBG000GTYWL7;0
BBG003BW05K6;326
BBG00LJYS1P8;742
BBG007BBS8B7;462
BBG000FKMP26;2432
BBG00QV8FS02;255
BBG001K7WBT8;0
BBG000BZ9223;2432
BBG000CHSS88;2427
BBG000QS6NV8;462
BBG00VCZX9Z6;1736
BBG000BRD0D8;2432
BBG000MZL2S9;2305
BBG000G2GJT7;462
BBG000BS4MP5;2432
BBG004S682Z6;2479
BBG000CTV4N4;326
BBG000BLDV98;2432
BBG000BB0WG4;276
BBG000BTT3D1;2423
BBG000BBK401;2432
BBG000BF7BV7;0
BBG000BSFRF3;2432
BBG000BWPXQ8;2432
BBG000C5HS04;2432
BBG004S68CV8;2416
BBG000BSHH72;2432
BBG000HGTH33;1080
BBG000BP02D2;275
BBG000D13GN8;2431
BBG00LDPZMS6;0
BBG000BW3299;2432
BBG0059FN811;1729
BBG000KQY8Y7;0
BBG000TJ8XZ7;0
BBG000RQBFV2;0
BBG000BDTT76;2431
BBG0016T3GQ0;2432
BBG000C90DH9;2432
BBG00R240WL5;65
BBG000BH6360;2432
BBG000GRZDV1;2431
BBG001WWJTK5;1735
BBG000JK9DK4;2432
BBG004S68CP5;2416
BBG001J2R5H3;276
BBG0016MQ7C5;1287
BBG000G6Y5W4;2425
BBG00RQ732B6;65
BBG00FX58Q66;275
BBG000BPMH90;2432
BBG000BB9Q78;462
BBG000BJ3PD2;2432
BBG00GVR8YQ9;704
BBG000PPFKQ7;2431
BBG000MHTV89;2407
BBG000BB65D0;2432
BBG000FLZN98;2432
BBG000BR54L0;2432
BBG000BB6WG8;2432
BBG000G8N9C6;2432
BBG00W7F99V5;0
BBG000BN2DC2;2433
BBG00FWQ4VD6;2432
BBG000H8TVT2;2432
BBG00MS90LK2;65
BBG000J3D1Y8;462
BBG00P33SY72;480
BBG000C7X325;184
BBG00HXSHDQ9;462
BBG000BNLPJ7;0
BBG007GJ2F81;1095
BBG000BM5SR2;2432
BBG000QFPM65;788
BBG000BBGGQ1;2432
BBG000DQLV23;2433
BBG00GCTWDJ3;276
BBG000BKRSZ3;275
BBG000BGFGT8;323
BBG004Z2RGW8;1744
BBG0014GJCT9;2294
BBG001QZCPJ2;0
BBG000DQN9R3;2432
BBG004S68BH6;2481
BBG002NLDLV8;2395
BBG000CN80Y9;406
BBG017J18W74;2424
BBG000BH0106;178
BBG004S681B4;2484
BBG000FDBX90;2432
BBG000BG4202;2432
BBG006Q52QV2;0
BBG000BB0V03;0
BBG00XK3WVD0;168
BBG000C3G9J2;460
BBG0046L1KL9;952
BBG000C3FGH9;2431
BBG000BJQWD2;2432
BBG000CPBCL8;462
BBG008P7F869;462
BBG00QVJV6V4;276
BBG000H6HNW3;1992
BBG00HVKH3Q0;462
BBG000R0L5J4;2432
BBG000C101X4;2431
BBG000BCNF74;186
BBG000BBWF85;164
BBG000BQ2C28;2432
BBG000RG4ZQ4;2336
BBG00564Y443;0
BBG000BC4JJ4;2432
BBG000G1C210;2431
BBG000BD8PN9;2432
BBG00PNN7C40;276
BBG000NS3P30;2430
BBG000DD8WX1;325
BBG000BV6R84;2432
BBG00F17NDH7;223
BBG000BKNX95;2433
BBG000BMQCP6;2432
BBG000C4FQG6;2432
BBG000D2ZTS8;2432
BBG00475KHX6;2479
BBG00RPJPN67;0
BBG00DWX7QH0;65
BBG00R0ZFHV4;144
BBG003338H34;872
BBG000BB6G37;2432
BBG000BC9938;608
BBG000BW6JV4;460
BBG000C17X76;2432
BBG007BVZ8H9;462
BBG000CGJMB9;2432
BBG0019V9M65;1962
BBG000BN84F3;2432
BBG000BH3JF8;2432
BBG000DS5588;462
BBG000C5Z443;0
BBG000BM7HL0;2432
BBG0065B7K59;1273
BBG000BT9DW0;2432
BBG007Z9V591;462
BBG000BKR1D6;2432
BBG004S681W1;2479
BBG000PZGB75;2432
BBG000NLB2G3;2086
BBG000BQSBB2;2432
BBG000BGVW60;2432
BBG00NNG2ZJ8;2427
BBG004S68C39;2416
BBG0025X16Y5;524
BBG000CFZ003;323
BBG000BX28M0;462
BBG000BMLVJ6;0
BBG004TPGBP5;2047
BBG002B298N6;799
BBG007DLZ601;983
BBG000BTVJ25;2431
BBG000BK2F42;2432
BBG000DW4LB1;2432
BBG000N625H8;379
BBG004S681M2;2479
BBG000BXM6V2;2432
BBG008LJ4TF3;0
BBG000BFPK65;2432
BBG004S68BR5;2416
BBG000C42WS4;326
BBG00CZNLR47;1162
BBG001KJ2HM9;2432
BBG00L2DB535;2434
BBG0320C1036;88
BBG004WQKD07;276
BBG001NDW1Z7;524
BBG003PHHZT1;485
BBG000J094P3;1996
BBG004S68507;2484
BBG000L5CJF3;2430
BBG000NLCCM3;2372
BBG00LLW2MF2;0
BBG000BNNYW1;2433
BBG000BD9FD1;164
BBG00F9YLST6;0
BBG00DW3SZS1;276
BBG000BVVQQ8;2432
BBG000SR0YS4;2411
BBG002GHV6L9;0
BBG000CDMJW6;2432
BBG001MB89V6;65
BBG000TGLV00;0
BBG00PQ4XJ45;38
BBG000H1RYG7;2432
BBG000BQW085;2432
BBG005L86G05;1728
BBG000BM9RH1;2432
BBG004S684M6;2416
BBG000GQSVC2;2416
BBG00KHY5S69;2433
BBG001PD3L10;59
BBG00VR8SDG8;65
BBG000V07CB8;2358
BBG001J1BQ86;276
BBG002BCQK67;1720
BBG000KLB4Q1;2432
BBG0016YQTR5;2162
BBG000DCCZW2;2432
BBG00QKJSX05;0
BBG00BLYKS03;276
BBG000Q7GJ60;2130
BBG000BBR9P6;462
BBG00PKCBY53;0
BBG000H9G7X2;186
BBG001R16GZ5;18
BBG000BCLBY5;2432
BBG002Q7J5Z1;1556
BBG000PV2M48;2431
BBG000BPWXK1;2432
BBG000JYP7L8;2432
BBG000BK5S78;2432
BBG000FR1RP5;164
BBG003CVMLQ2;326
BBG000CHZ857;2427
BBG00LBLCD02;523
BBG000H3FZM6;2430
BBG000BSV0W5;462
BBG000BB4D72;186
BBG000BHX7N2;2432
BBG000NDYB67;2434
BBG000QX74T1;2432
BBG00HFFRW39;276
BBG000GCSWR5;2431
BBG000BX4S53;183
BBG00MS4Y0W9;276
BBG000BKFBD7;2432
BBG00TZNCJ75;0
BBG003PDKJF7;65
BBG000BNGTQ7;16
BBG000PYX812;462
BBG006N7S6K9;186
BBG00475KKY8;2484
BBG005TJKDZ6;1899
BBG000BP52R2;2432
BBG000HCVWW4;2430
BBG000BZ2QG2;2432
BBG000F6H7K3;2416
BBG000BBL8V7;2432
BBG000MBDGM6;2432
BBG000BS5170;326
BBG000LLRNX3;186
BBG000BGKHZ3;2432
BBG009HSTZ10;65
BBG004S68598;2423
BBG000D8RG11;2432
BBG003NJHZT9;407
BBG000BGSPS5;326
BBG000HGNYG8;2431
BBG000BH2JM1;455
BBG00YV1J622;0
BBG000DW34S2;0
BBG000BBXLW4;2432
BBG000LWNRP3;2064
BBG000BD2167;2432
BBG001KS9450;1871
BBG000BFL116;2433
BBG000BVMG26;324
BBG005XR47P5;462
BBG00HPSG933;266
BBG000FY4S11;2433
BBG000C3VHF1;2432
BBG000BLDXH5;523
BBG00GKS1G03;52
BBG000BT2TP0;0
BBG000BCWCG1;2432
BBG000DD3510;2421
BBG000BCMWM1;2432
BBG000BP3NW2;317
BBG000BVXFK6;462
BBG000BSHJ96;2283
BBG000GM6Y84;59
BBG000BF6RQ9;2432
BBG000BMBL90;2432
BBG000BVQRY3;325
BBG000BJ5GK2;2433
BBG000B9ZXB4;2433
BBG000VJMH65;2309
BBG000BS2ZD1;186
BBG00LSD4456;186
BBG000BM6788;376
BBG00Q741Z16;0
BBG000BBK4B9;2431
BBG00GVP5JL4;462
BBG000KCZPC3;2432
BBG010JBYV98;68
BBG001BBGNS2;956
BBG000BLHRS2;2432
BBG000BMXK89;462
BBG017TGV7M2;2425
BBG000BJPDZ1;2433
BBG00B6W26V8;0
BBG000G7QX50;1997
BBG000QTF8K1;514
BBG00CVQZQ96;325
BBG000DVB833;2432
BBG00M1CKSK7;492
BBG000BFRRX8;2432
BBG00ZHDJVK4;85
BBG000FQ7YR4;2432
BBG010MW0N84;43
BBG00MJH9LC4;65
BBG017BXPZ85;2423
BBG000BWLMJ4;2432
BBG000BLRP41;2433
BBG0112Z87D8;59
BBG00HVQF9K2;967
BBG000FJS1S8;223
BBG00XMJRPQ8;85
BBG000BKLTM1;462
BBG0098VVDT9;1544
BBG000BNX3R4;186
BBG000D86F25;326
BBG000BVDLH9;2432
BBG000BTT5B8;2432
BBG000F31Z34;276
BBG00J0BBZL0;952
BBG006G412Q6;0
BBG000BGCQT9;2432
BBG00H433CR2;276
BBG000MZL0Y6;2041
BBG000DCNK80;2430
BBG000PT6BR8;406
BBG000D9D830;2432
BBG000DH7JK6;2432
BBG000QF1Q17;2416
BBG000F6H8W8;2433
BBG004PYF2N3;2093
BBG000Q0JJQ0;276
BBG009GSYN76;1567
BBG001Q7HP63;462
BBG000BJ91B1;2432
BBG000BKL348;2432
BBG000BMFFQ0;431
BBG000BJD1D4;2391
BBG001VBZR00;18
BBG004S68DD6;848
BBG00WYHL732;0
BBG000BNBDC2;2434
BBG00LWZDYB9;0
BBG000BC7VW9;2431
BBG003QBJKN0;786
BBG000LWVHN8;236
BBG0025XVR85;58
BBG000C5QMB5;2432
BBG000BGF8B5;2432
BBG0060CPLJ5;0
BBG000BCWSS3;2432
BBG000BCY878;461
BBG000CN3S73;2432
BBG000BJ41X2;2432
BBG001R3MNY9;276
BBG001J19V24;524
BBG000FP1N32;2432
BBG000C2PL98;325
BBG00JG0FFZ2;276
BBG000H7ZK57;0
BBG000D1Y3P1;462
BBG000T8ZF80;325
BBG000BKKQ84;2432
BBG000BWP7D9;2432
BBG00NNW8JK1;223
BBG008HBD923;33
BBG00MVWLLM2;646
BBG000VH7TZ8;2416
BBG00LV3NRG0;727
BBG000FVZQY1;0
BBG000BM0597;223
BBG000BLKK03;2432
BBG003DNHV56;0
BBG000C3J3C9;2433
BBG005DWN8K8;0
BBG004S68473;2479
BBG000BL46Q4;2432
BBG00SDJ8M78;65
BBG000BMKDM3;2432
BBG000BCZL41;2432
BBG000BBV4M5;2400
BBG002B9MYC1;796
BBG000BBD070;2432
BBG001MKZGY7;462
BBG00N9MJTZ9;65
BBG000C0HQ54;2432
BBG000BNGBW9;2432
BBG000BJDB15;2431
BBG00GNC8DL2;462
BBG004S683W7;2479
BBG000T88BN2;276
BBG000BW2QX0;2432
BBG000BBVVK7;59
BBG000CRN8N8;2432
BBG000Q9FZL4;0
BBG00N6NL712;65
BBG002W2FT69;773
BBG000BWJFZ4;2432
BBG005BT60Y8;462
BBG003NXJNH6;0
