;amount_of_sma_rows
BBG000VDC3G9;389
BBG000F369C7;462
BBG000BCQ4P6;2432
BBG000C8H633;2432
BBG000BQ8KV2;2432
BBG000BFXHL6;2432
BBG00HQ77DS2;978
BBG000Q1NMJ4;223
BBG000R8ZVD1;2432
BBG000BC2KW8;406
BBG00H2QQ8T5;186
BBG000VC0T95;2235
BBG000BBZW12;59
BBG000GMGNB3;2431
BBG009H04M17;1529
BBG000TVRB50;2432
BBG000BNPSQ9;2432
BBG00JHNJW99;852
BBG002ZCK2V9;2234
BBG00FWP4JW4;276
BBG00ZGF6SS3;0
BBG000PV27K3;2432
BBG000BGBTC2;186
BBG00KHGQ0H4;275
BBG012QVD574;0
BBG00RP60KV0;355
BBG000BVYN55;186
BBG00M4RHBD0;462
BBG0100R9963;72
BBG000BCJ161;524
BBG00P17H053;0
BBG000R4Y9C1;524
BBG000BTHH16;186
BBG000N7MZ06;1736
BBG005CPNTQ2;1552
BBG00QNSY1H7;0
BBG00SHY90J5;65
BBG001M8HHB7;2432
BBG000BNPS52;2431
BBG000DQBZJ7;2432
BBG000PKWCQ7;2415
BBG00H1CY328;1036
BBG000BK67C7;2433
BBG000PVRDL2;0
BBG009S39JX6;2444
BBG000TRJ294;326
BBG00JM9XLN6;0
BBG000F7RCJ1;2432
BBG000BQC9V2;2433
BBG000BBVJZ8;2432
BBG00B6WH9G3;1447
BBG00XS0FV56;0
BBG00GF8K4W4;0
BBG0035LY913;2066
BBG00B6G7GL7;524
BBG00K20GVD2;223
BBG00X7L1C14;65
BBG000BP30Y0;325
BBG004S68B31;2484
BBG000K82ZT8;275
BBG00PPS73P4;186
BBG00K53L394;713
BBG00MJDR6J9;682
BBG006B6PVN9;326
BBG007DJM539;0
BBG000CMRVH1;2432
BBG000BR2TH3;2433
BBG002458LF8;2341
BBG000BZX1N5;2432
BBG00GQK3WB5;843
BBG000NJGX84;461
BBG000HZ3562;186
BBG000FX3Y66;462
BBG000BX57K1;2432
BBG000H8R0N8;0
BBG000BP0HX7;462
BBG000NN8497;18
BBG000BX5YM0;2430
BBG000MM2P62;2364
BBG000BWNFZ9;2434
BBG00JH9TZ56;314
BBG00RP5HYS8;355
BBG00212PVZ5;523
BBG00JM7QBR6;513
BBG000C2BXK4;178
BBG000BV0VK7;2432
BBG001KHJM17;1866
BBG00Q011TW9;0
BBG000BRJ809;2432
BBG000BK5DP1;2432
BBG000BT5PG5;2432
BBG000BS7KS3;2432
BBG000BHCP19;2432
BBG000BQZMH4;2432
BBG0058KMH30;1943
BBG000DM2BF3;2432
BBG00P4R3079;186
BBG000PWTD92;326
BBG000BTQR96;2432
BBG000BBDV81;2432
BBG000R2YFG7;2432
BBG001J2PFF5;186
BBG000DBD6F6;1559
BBG000BKLH74;2432
BBG0019K04R5;864
BBG001R1GCT0;33
BBG000PVGDH9;2432
BBG000L4M7F1;2431
BBG000CSRSG6;276
BBG000HG21Y3;2432
BBG00FZYFVC5;2432
BBG009PH3Q86;1475
BBG000BY29C7;2432
BBG000R04X57;212
BBG00DR7LTG2;0
BBG000BLMDQ9;2432
BBG009Q036D0;1326
BBG00B8NN386;1374
BBG000BX3BL3;2432
BBG000BT13B3;2396
BBG000CKGBP2;2443
BBG000F6YP24;2416
BBG00HY6V6H5;889
BBG000BBKZD8;2432
BBG000BFRF55;2432
BBG00VJ17DS2;65
BBG000BLW102;2432
BBG002583CV8;462
BBG000BRVKH0;2432
BBG001MC8YF7;1598
BBG003LYCMB1;1417
BBG000PV3J62;186
BBG000BQ6CT5;0
BBG00VDHLSQ6;0
BBG000BCWG90;2432
BBG00GSNPM07;0
BBG007WX14X0;276
BBG000PRJCX9;186
BBG000BVZP59;2432
BBG000BWT790;59
BBG004RVFCY3;2484
BBG00F6NKQX3;196
BBG000BCGHH7;462
BBG000BCWWV0;2431
BBG000BKJ092;186
BBG000C2L2L0;2432
BBG000C8D8G9;326
BBG000L8CBX4;2432
BBG000BKRHQ7;461
BBG00YB1ZD58;0
BBG001PKMK06;0
BBG000C3NTN5;2432
BBG000R33BD1;462
BBG0067QVJ50;0
BBG000BHG9K0;2431
BBG000HF28Q9;0
BBG000C23KJ3;2432
BBG000BJP882;2428
BBG000BNMHS4;2432
BBG000C46HM9;2451
BBG000D9DMK0;2431
BBG000BDD940;2431
BBG000QXWHD1;2448
BBG000LW3NX5;59
BBG000BDXCJ5;2430
BBG005F1DK91;462
BBG000FJ0RK9;2432
BBG00MMM95S7;65
BBG000BLRT07;2432
BBG0145KL747;320
BBG000D0SMY8;275
BBG000DY6735;186
BBG000DSZTN6;18
BBG0029SNR63;2432
BBG001J2QYS9;462
BBG000KGYRF8;18
BBG001ZZPQJ6;562
BBG000BQLTW7;2432
BBG000HL7499;2432
BBG000PCQQL6;2421
BBG002YSC5M7;0
BBG00R4Z2NT4;0
BBG000BB6M98;1581
BBG0078Y1D92;1715
BBG000PRJ2Z9;2432
BBG000BCPB71;186
BBG000R7XX87;2432
BBG000SK7JS5;2412
BBG000CZWZ05;524
BBG000BHTPZ4;2432
BBG000BR37X2;2431
BBG001D8R5D0;2432
BBG000BHQJX3;0
BBG000PTSB12;276
BBG00R2JZG39;2427
BBG000C2V3D6;2431
BBG000BHJWG1;147
BBG000BBCDZ2;2432
BBG00PZ78ZM0;0
BBG000GJS7C1;524
BBG000BBXB74;184
BBG000BMGPW0;276
BBG000DYGNW7;2428
BBG001MFW6D6;462
BBG000H01H92;2432
BBG0027Z6X10;406
BBG000BFLXV3;462
BBG000BF6756;2432
BBG00D8JD9Z9;276
BBG009T22D49;1335
BBG000DHXTF1;59
BBG006R5SSH5;65
BBG005Y3XWH9;462
BBG000BPZVW9;2432
BBG000BD8ZK0;2287
BBG000BL9MZ4;461
BBG000BBGQF1;2432
BBG000VG1034;2413
BBG000DBKR53;2432
BBG000BC5WJ4;2430
BBG000HJTMS9;164
BBG000BQPC32;2451
BBG002B9T6Y1;754
BBG004731032;2486
BBG000BKFZM4;2432
BBG000TYXCT9;1785
BBG00FQH6BS9;186
BBG000CCFB17;2432
BBG000FQXC75;223
BBG000R607Y3;2479
BBG000BH1NH9;2434
BBG00QVJYGM9;186
BBG000BRNH31;2394
BBG000BLMY92;2432
BBG000BX8DC4;2433
BBG000D2ZK61;2430
BBG002H1K1H1;276
BBG005DJFD43;524
BBG000BM22F5;2429
BBG000BG1SX2;276
BBG000H8LGK2;2357
BBG000D4LWF6;2443
BBG0029KJVB0;462
BBG000B9XG87;2432
BBG000QJW156;2432
BBG000BP46T2;0
BBG000LR8515;462
BBG004NLQHL0;462
BBG000BLGFJ9;2432
BBG00225ZDD0;276
BBG00PNR1BT2;276
BBG001KY4N87;1943
BBG000FQ6PY6;2432
BBG000BXRPH1;2432
BBG0035M2ZB7;2066
BBG000J6XT05;2432
BBG0025Y4RY4;2210
BBG000PNTXP0;0
BBG0018SLC07;1465
BBG000BWPP85;2432
BBG000BL0T06;2428
BBG000BF0672;2430
BBG000FRVHB9;2432
BBG000BCZBF1;2431
BBG000BGGBT8;2432
BBG000FFH4P5;2432
BBG002YFXL29;1741
BBG000C8NJ10;286
BBG000BX9WL1;2432
BBG00BT7PPY8;326
BBG001BBSZV8;1779
BBG000BBS2Y0;2431
BBG00K4MPP27;755
BBG000BC1L02;2432
BBG000LD9JQ8;2433
BBG000BT0CM2;2432
BBG000BJ49H3;2432
BBG00LNJRQ09;0
BBG000BP0KQ8;2434
BBG00QPYJ5H0;446
BBG000BDLCQ0;326
BBG000BRXTR8;0
BBG000CH5208;2432
BBG005D7QCJ3;168
BBG000BJZ7V7;2432
BBG0134WCM78;229
BBG00L2B8KW8;0
BBG000PSJMV7;2432
BBG00P19DKZ6;238
BBG000DB3KT1;2427
BBG000BCVG28;2432
BBG000BW7X97;223
BBG000BWMX63;185
BBG000BGLRN3;2424
BBG000D9KWL9;2432
BBG000BRJL00;2432
BBG000PZ0833;2209
BBG000BLMXN8;0
BBG000RKXRQ1;186
BBG000JWD753;2450
BBG0018FQNS6;462
BBG00W0KZD98;102
BBG000HHLBF9;186
BBG000RJ2J04;2432
