;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
37;BBG000BWT790;RHM@DE;Rheinmetall AG;2022-06-22 13:59:24.502248;140.91;91.0184;1;0;rsi;0;eur
38;BBG000BCWWV0;CMCO;Columbus McKinnon Corp;2022-06-22 13:59:24.535246;28.37;27.5816;0;1;rsi;0;usd
39;BBG000LW3NX5;DPW@DE;Deutsche Post AG;2022-06-22 13:59:24.633247;42.15;24.8805;0;1;rsi;0;eur
40;BBG00R4Z2NT4;VEON-RX;VEON;2022-06-22 13:59:24.731245;40.2;23.8316;0;1;rsi;0;rub
41;BBG000BB6M98;FE;FirstEnergy;2022-06-22 13:59:24.749246;35.96;16.6051;0;1;rsi;0;usd
42;BBG000H01H92;AMCX;AMC Networks Inc;2022-06-22 13:59:24.853244;28.25;27.8599;0;1;rsi;0;usd
43;BBG000BL9MZ4;MHO;M/I Homes Inc;2022-06-22 13:59:24.913245;36.2;28.0361;0;1;rsi;0;usd
44;BBG000R607Y3;PLZL;Полюс Золото;2022-06-22 13:59:24.982246;9601.5;22.8469;0;1;rsi;0;rub
45;BBG000J6XT05;EXC;Exelon Corporation;2022-06-22 13:59:25.106245;41.18;25.76;0;1;rsi;0;usd
46;BBG00K4MPP27;VNE;Veoneer Inc;2022-06-22 13:59:25.196244;36.89;73.7172;1;0;rsi;0;usd
47;BBG000BC1L02;AOS;A. O. Smith Corporation;2022-06-22 13:59:25.215244;52.92;29.4436;0;1;rsi;0;usd
48;BBG000BRJL00;PPL;PPL;2022-06-22 13:59:25.318244;25.78;29.8642;0;1;rsi;0;usd
49;BBG00W0KZD98;LI;Li Auto;2022-06-22 13:59:25.356244;35.65;77.4022;1;0;rsi;0;usd
50;BBG000BCLYL9;MSM;MSC Industrial Direct Co Inc;2022-06-22 13:59:25.431242;73.72;29.0837;0;1;rsi;0;usd
51;BBG000MQ1SN9;DVA;DaVita HealthCare Partners;2022-06-22 13:59:25.452242;73.43;17.534;0;1;rsi;0;usd
