figi;ticker;class_code;isin;lot;currency;klong;kshort;dlong;dshort;dlong_min;dshort_min;short_enabled_flag;name;exchange;ipo_date;issue_size;country_of_risk;country_of_risk_name;sector;issue_size_plan;nominal;trading_status;otc_flag;buy_available_flag;sell_available_flag;div_yield_flag;share_type;min_price_increment;api_trade_available_flag;uid;real_exchange
BBG00HPSG933;ACMR;SPBXM;US00108J1097;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;ACM Research Inc;SPB;1970-01-01 00:00:00+00:00;53649576;US;Соединенные Штаты Америки;health_care;150000000;{'currency': 'usd', 'units': 0, 'nano': 100000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;aa276ea9-bc1a-44ea-a3d3-fc03f6eecd4f;2
BBG000FY4S11;C;SPBXM;US1729674242;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;Citigroup;SPB;1970-01-01 00:00:00+00:00;2026785183;US;Соединенные Штаты Америки;financial;0;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;f78977df-a2d5-43e5-9eb5-5fc3a10f9d84;2
BBG000C3VHF1;VICR;SPBXM;US9258151029;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Vicor Corp;SPB;1991-05-01 00:00:00+00:00;11758218;US;Соединенные Штаты Америки;industrials;62000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;03193dc2-c6f2-45b8-9017-346c62e57edc;2
BBG000BLDXH5;MDRX;SPBXM;US01988P1084;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Allscripts Healthcare Solution;SPB;1970-01-01 00:00:00+00:00;270955000;US;Соединенные Штаты Америки;health_care;349000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;c7a53473-da17-4628-a2ba-f456a19f6b71;2
BBG00GKS1G03;PATH;SPBXM;US90364P1057;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;UiPath, Inc.;SPB;1970-01-01 00:00:00+00:00;14474393;US;Соединенные Штаты Америки;it;0;{'currency': 'usd', 'units': 0, 'nano': 10000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;437f26d8-17ae-4938-a847-a27bf222afbb;2
BBG000BT2TP0;SKY;SPBXM;US8308301055;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Skyline Champion;SPB;1970-01-01 00:00:00+00:00;56657191;US;Соединенные Штаты Америки;real_estate;115000000;{'currency': 'usd', 'units': 0, 'nano': 27700000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;4164ae8b-6f9d-43f7-b0a9-960e215722a7;2
BBG000BCWCG1;BBY;SPBXM;US0865161014;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;Best Buy Co.;SPB;1970-01-01 00:00:00+00:00;348803518;US;Соединенные Штаты Америки;consumer;0;{'currency': 'usd', 'units': 0, 'nano': 100000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;e2b354a5-ec36-4e35-9856-dc9e2a1148ee;2
BBG000DD3510;AIV;SPBXM;US03748R7474;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};False;Apartment Investment & Management REIT;SPB;1970-01-01 00:00:00+00:00;150066381;US;Соединенные Штаты Америки;real_estate;510587500;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;e14b996e-5130-472d-be01-8d39cd301633;2
BBG000BCMWM1;MTN;SPBXM;US91879Q1094;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Vail Resorts Inc;SPB;1997-02-04 00:00:00+00:00;40196699;US;Соединенные Штаты Америки;consumer;100000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;a0b558eb-c5ce-431d-b59c-6e696f1b0b4b;2
BBG000BP3NW2;CCMP;SPBXM;US12571T1007;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;CMC Materials;SPB;1970-01-01 00:00:00+00:00;29055268;US;Соединенные Штаты Америки;it;220000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;90890df8-8eab-4c17-8da9-fb15f4352f15;2
BBG000BVXFK6;PRFT;SPBXM;US71375U1016;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Perficient Inc;SPB;1997-07-01 00:00:00+00:00;32841276;US;Соединенные Штаты Америки;telecom;100000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;7be96304-8b7f-4025-8246-c4a745dcee6d;2
BBG000BSHJ96;SAFM;SPBXM;US8000131040;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Sanderson Farms Inc;SPB;1987-05-01 00:00:00+00:00;22835774;US;Соединенные Штаты Америки;consumer;100000000;{'currency': 'usd', 'units': 1, 'nano': 0};4;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;f23ac246-5948-4152-a53f-5789efbf818e;2
BBG000GM6Y84;DWNI@DE;SPBDE;DE000A0HN5C6;1;eur;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Deutsche Wohnen SE;SPB_DE;1970-01-01 00:00:00+00:00;337410000;DE;Федеративная Республика Германия;real_estate;0;{'currency': 'eur', 'units': 0, 'nano': 0};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;8d4c9c49-df88-4f3d-aea0-1d36af254f93;2
BBG000BF6RQ9;SAVE;SPBXM;US8485771021;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 695300000};{'units': 1, 'nano': 96700000};{'units': 0, 'nano': 448000000};{'units': 0, 'nano': 448000000};True;Spirit Airlines Inc;SPB;2011-05-26 00:00:00+00:00;69373154;US;Соединенные Штаты Америки;industrials;0;{'currency': 'usd', 'units': 0, 'nano': 100000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;3becf1ea-0a4e-40d9-a021-32b4e0b9cff7;2
BBG000BMBL90;ITW;SPBXM;US4523081093;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};False;Illinois Tool Works;SPB;1970-01-01 00:00:00+00:00;363491774;US;Соединенные Штаты Америки;industrials;0;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;05aec0b3-8b37-47e1-8c18-bd810914b22b;2
BBG000BVQRY3;TTC;SPBXM;US8910921084;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Toro;SPB;1970-01-01 00:00:00+00:00;106020302;US;Соединенные Штаты Америки;industrials;175000000;{'currency': 'usd', 'units': 1, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;2a55a4de-5da9-4702-81a4-a143ac81ddcd;2
BBG000BJ5GK2;EXPD;SPBXM;US3021301094;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Expeditors;SPB;1984-09-01 00:00:00+00:00;177702850;US;Соединенные Штаты Америки;industrials;0;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;5f016c4c-5af1-4e0b-8b06-083d9f86090e;2
BBG000B9ZXB4;ABT;SPBXM;US0028241000;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;Abbott;SPB;1929-01-01 00:00:00+00:00;1772817349;US;Соединенные Штаты Америки;health_care;2400000000;{'currency': 'usd', 'units': 0, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;906c71ab-ca3e-444f-9aba-e6b46cd2ea9c;2
